Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2015","2015","gigagrams","14685.3435","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2016","2016","gigagrams","1229.6923","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2017","2017","gigagrams","1229.6923","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2012","2012","gigagrams","5980.4318","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2013","2013","gigagrams","3672.8251","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2014","2014","gigagrams","16198.5453","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2015","2015","gigagrams","21055.9086","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2016","2016","gigagrams","1763.051","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2017","2017","gigagrams","1763.051","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2012","2012","ha","15047.5735","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2013","2013","ha","3370.1413","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2014","2014","ha","16958.0357","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2015","2015","ha","63302.8447","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2016","2016","ha","2082.1892","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2017","2017","ha","2082.1892","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2012","2012","tonnes","778324.4799","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2013","2013","tonnes","169430.0966","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2014","2014","tonnes","867697.6064","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2015","2015","tonnes","3242219.735","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2016","2016","tonnes","110164.978","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2017","2017","tonnes","110164.978","Fc","Calculated data"
